Customer_Name,Gender,Age,Region,Product,Units_Sold,Unit_Price,Payment_Method,Order_Date,Customer_Rating,Sales_Amount
Kavya Reddy,Male,56,North,Laptop,4,49992,Netbanking,12/4/2024,2.2,199968
Aarav Sharma,Male,46,South,Tablet,2,36085,Cash,5/8/2024,2.2,72170
Krishna Mishra,Male,32,North,Headphones,3,31182,Card,10/20/2024,2.4,93546
Diya Patel,Male,25,East,Laptop,3,48364,UPI,11/29/2023,3.5,145092
Krishna Reddy,Male,38,North,Laptop,4,19380,Card,5/7/2023,2.3,77520
Aryan Patel,Female,56,South,Headphones,4,38567,UPI,7/11/2024,3.9,154268
Ishaan Joshi,Female,36,East,Tablet,5,43185,Card,7/10/2024,2.6,215925
Diya Sharma,Female,40,South,Headphones,4,18573,Netbanking,1/1/2023,1.3,74292
Sneha Reddy,Male,28,West,Mobile,8,36535,Netbanking,6/17/2023,4.1,292280
Krishna Joshi,Male,28,North,Laptop,6,37674,Cash,9/11/2024,2.1,226044
Krishna Nair,Male,41,South,Laptop,6,25337,Card,1/19/2023,2.7,152022
Rohan Patel,Female,53,North,Mobile,8,18326,Cash,11/28/2023,3.7,146608
Ishaan Joshi,Female,57,West,Tablet,7,25481,Cash,8/6/2024,2.3,178367
Krishna Gupta,Male,41,North,Headphones,8,10882,Cash,3/31/2024,1.2,87056
Tanya Reddy,Female,20,North,Tablet,2,4937,Cash,4/19/2023,2.5,9874
Ananya Reddy,Female,39,West,Headphones,9,5935,Card,9/25/2023,4.8,53415
Rahul Nair,Female,19,East,Laptop,1,25319,Card,3/20/2024,3.6,25319
Rohan Sharma,Female,41,West,Headphones,8,37375,Card,8/28/2023,3.7,299000
Sneha Choudhary,Male,47,North,Headphones,4,32482,Netbanking,10/28/2023,3.5,129928
Riya Gupta,Female,55,South,Laptop,4,33828,UPI,8/24/2024,1.8,135312
Vivaan Joshi,Male,19,West,Laptop,5,12829,UPI,4/13/2023,2.7,64145
Ishaan Nair,Male,38,East,Headphones,8,25669,Cash,9/7/2023,4,205352
Sneha Patel,Female,50,East,Mobile,5,22432,Cash,3/28/2024,1.4,112160
Aditya Kumar,Female,29,East,Tablet,8,35094,Card,6/3/2024,2.1,280752
Priya Joshi,Female,39,West,Headphones,1,11921,Cash,6/2/2023,2.1,11921
Rahul Choudhary,Male,42,East,Headphones,9,45533,Cash,6/23/2023,2.7,409797
Sneha Nair,Male,44,South,Charger,6,8129,Card,12/9/2023,4.9,48774
Kavya Sharma,Female,59,West,Tablet,3,8825,UPI,10/31/2024,1.3,26475
Riya Gupta,Male,45,North,Mobile,8,28995,Card,3/6/2024,3.1,231960
Rahul Verma,Female,33,East,Headphones,9,32250,Netbanking,12/27/2024,1.7,290250
Rahul Choudhary,Female,32,South,Headphones,6,30119,Card,11/19/2024,4.9,180714
Rohan Joshi,Male,20,East,Tablet,7,40961,UPI,11/17/2024,1.5,286727
Aryan Gupta,Female,54,East,Mobile,1,8764,UPI,10/19/2024,2.6,8764
Isha Gupta,Female,24,East,Mobile,5,13186,Card,11/20/2023,4,65930
Ananya Choudhary,Male,38,North,Tablet,5,46984,Cash,11/3/2024,3.8,234920
Diya Sharma,Male,26,North,Mobile,4,24726,Cash,9/30/2024,2.7,98904
Rohan Patel,Male,56,North,Headphones,6,7221,Card,2/24/2024,2.4,43326
Aryan Choudhary,Male,35,North,Charger,7,21109,Cash,8/16/2024,2.6,147763
Krishna Kumar,Male,21,East,Laptop,9,7873,UPI,4/29/2024,2.1,70857
Diya Patel,Male,42,South,Laptop,1,39175,UPI,10/20/2024,1.8,39175
Diya Joshi,Male,31,North,Tablet,6,49395,Card,2/16/2024,2.9,296370
Riya Reddy,Male,26,East,Charger,7,29437,Cash,3/25/2023,2.1,206059
Kabir Patel,Male,43,South,Tablet,3,6156,Card,4/23/2023,2.1,18468
Tanya Joshi,Female,19,North,Mobile,8,9484,Card,11/28/2023,3.6,75872
Vivaan Choudhary,Female,37,West,Charger,5,30484,Netbanking,1/13/2024,4.9,152420
Simran Verma,Female,45,South,Headphones,9,8786,Netbanking,10/16/2024,3.4,79074
Krishna Patel,Female,24,North,Charger,5,6401,Netbanking,2/10/2023,1.3,32005
Kavya Nair,Male,25,North,Charger,9,32052,Netbanking,4/15/2023,1.3,288468
Riya Nair,Female,52,South,Mobile,4,26209,Netbanking,7/21/2023,4.8,104836
Riya Mishra,Female,31,West,Mobile,9,31555,UPI,3/25/2024,2.2,283995
Kavya Mishra,Male,34,South,Headphones,5,38185,UPI,9/23/2023,1.4,190925
Tanya Choudhary,Male,53,East,Laptop,9,8929,Cash,7/29/2023,3.4,80361
Ananya Gupta,Female,57,South,Mobile,3,15216,UPI,7/16/2024,3.5,45648
Aisha Patel,Female,21,West,Laptop,4,49063,UPI,4/28/2023,3.6,196252
Kabir Reddy,Female,19,East,Charger,9,11638,Card,12/13/2024,2.1,104742
Vihaan Verma,Male,23,East,Mobile,6,35798,Card,1/12/2024,1.1,214788
Ananya Patel,Male,59,East,Headphones,2,23929,Netbanking,7/4/2024,4.9,47858
Aditya Mishra,Male,21,West,Charger,7,6272,Card,6/23/2024,2,43904
Priya Verma,Male,46,North,Charger,2,48744,Cash,3/25/2023,3.7,97488
Diya Mishra,Male,35,North,Headphones,2,49019,Card,3/29/2024,3.8,98038
Tanya Mishra,Female,43,East,Headphones,1,36232,UPI,10/28/2024,3.4,36232
Sneha Nair,Male,51,East,Laptop,3,40405,Card,9/20/2024,2.3,121215
Aryan Verma,Female,27,North,Headphones,6,17847,Netbanking,5/28/2024,2.1,107082
Tanya Sharma,Female,53,West,Headphones,8,17420,Card,8/27/2024,3.4,139360
Aarav Joshi,Female,31,North,Laptop,9,32322,Netbanking,11/8/2024,4.5,290898
Aditya Joshi,Male,48,West,Charger,7,47159,UPI,1/22/2024,4.8,330113
Tanya Mishra,Female,32,North,Charger,4,40608,Card,12/16/2023,1.4,162432
Rohan Sharma,Male,25,East,Charger,6,24063,Card,10/23/2023,1.6,144378
Krishna Choudhary,Female,31,North,Mobile,5,8467,Cash,9/15/2023,4.8,42335
Simran Nair,Male,40,West,Mobile,8,45683,Cash,3/22/2023,3.9,365464
Riya Gupta,Male,57,North,Mobile,1,12371,UPI,9/25/2023,4.5,12371
Ananya Kumar,Female,38,East,Mobile,1,29263,Netbanking,2/23/2024,1.8,29263
Vihaan Sharma,Male,33,East,Headphones,6,12416,Netbanking,8/23/2023,3.4,74496
Tanya Gupta,Female,35,West,Tablet,2,9234,Cash,11/7/2023,3.8,18468
Ananya Sharma,Female,41,North,Headphones,5,34113,UPI,12/23/2023,3.7,170565
Aarav Mishra,Male,43,West,Mobile,1,28679,Card,8/1/2023,2.6,28679
Krishna Reddy,Female,42,North,Headphones,7,35762,UPI,7/27/2024,1.1,250334
Aarav Nair,Male,58,South,Charger,1,13177,Cash,2/18/2023,3.3,13177
Diya Gupta,Male,46,West,Charger,4,18768,UPI,5/7/2023,2,75072
Tanya Mishra,Male,32,East,Tablet,9,12830,Netbanking,8/11/2023,2.8,115470
Priya Verma,Female,18,West,Headphones,1,21233,Cash,10/6/2023,4.8,21233
